Label,prompt
KinderPerfect: More Expansion Pack,I never thought I'd have to worry about ______.
KinderPerfect: More Expansion Pack,I wish Doc McStuffins could fix ______.
KinderPerfect: More Expansion Pack,It was all fun and games until ______.
KinderPerfect: More Expansion Pack,Mother's Day would not be complete without ______.
KinderPerfect: More Expansion Pack,My kids are famous for ______.
KinderPerfect: More Expansion Pack,My mom always said ______ builds character.
KinderPerfect: More Expansion Pack,My secret fear.
KinderPerfect: More Expansion Pack,Only parents know the joy of ______.
KinderPerfect: More Expansion Pack,Our weekends are now consumed by ______.
KinderPerfect: More Expansion Pack,Parenthood: powered by ______ and sustained by ______.
KinderPerfect: More Expansion Pack,Science will never explain ______.
KinderPerfect: More Expansion Pack,Sesame Street should have a song about _______.
KinderPerfect: More Expansion Pack,Today's mommy-shaming moment is brought to you by ______.
KinderPerfect: More Expansion Pack,Today's tantrum is brought to you by _______.
KinderPerfect: More Expansion Pack,We need an Instagram hashtag to celebrate ______.
KinderPerfect: More Expansion Pack,Why did grandma send the kids home?
KinderPerfect: More Expansion Pack,Why did the babysitter quit?
KinderPerfect: More Expansion Pack,Why I'm THAT parent.
KinderPerfect: More Expansion Pack,Why is mommy so #blessed?
KinderPerfect: More Expansion Pack,You know you are a parent when ______ seems normal.
