Label,prompt
CAH: Green Box Expansion,Art isn’t just a painting in a stuffy museum. Art is alive. Art is ______.
CAH: Green Box Expansion,CNN breaking news! Scientists discover ______.
CAH: Green Box Expansion,Errbody in the club ______.
CAH: Green Box Expansion,Feeling so grateful! #amazing #mylife #______.
CAH: Green Box Expansion,Girls just wanna have ______.
CAH: Green Box Expansion,Google Calendar alert: ______ in 10 minutes.
CAH: Green Box Expansion,I don’t believe in God. I believe in ______.
CAH: Green Box Expansion,I’ll take the BBQ bacon burger with friend egg and fuck it how about ______.
CAH: Green Box Expansion,LSD + ______ = really bad time.
CAH: Green Box Expansion,Mom’s to-do list:  * Buy Groceries  * Clean up ______.  * Soccer Practice.
CAH: Green Box Expansion,Most Americans would not vote for a candidate who is openly ______.
CAH: Green Box Expansion,One more thing. Watch out for Big Mike. They say he killed a man with ______.
CAH: Green Box Expansion,The top Google auto-complete results for “Barack Obama”: Barack Obama Height. Barack Obama net worth. Barack Obama ______.
CAH: Green Box Expansion,There is no God. It’s just ______ and then you die.
CAH: Green Box Expansion,We do not shake with our left hands in this country. That is the hand we use for ______.
CAH: Green Box Expansion,What are all those whales singing about?
CAH: Green Box Expansion,What sucks balls?
CAH: Green Box Expansion,What totally destroyed my asshole?
CAH: Green Box Expansion,What turned me into a Republican?
CAH: Green Box Expansion,What will end racism once and for all?
CAH: Green Box Expansion,What’s a total waste of Hillary Clinton’s time?
CAH: Green Box Expansion,What’s about to take dance floor to the next level?
CAH: Green Box Expansion,What’s the gayest?
CAH: Green Box Expansion,What’s the most problematic?
CAH: Green Box Expansion,Why am I laughing and crying and taking off my clothes?
CAH: Green Box Expansion,You know who else liked ______? Hitler.
CAH: Green Box Expansion,You won’t believe what’s in my pussy. It’s ______.
