Label,prompt
Humanity Hates Trump: Base Set,Being President is easy. You just need _________.
Humanity Hates Trump: Base Set,Everything is negotiable except _________.
Humanity Hates Trump: Base Set,Foreign Policy? You mean _________.
Humanity Hates Trump: Base Set,Freedom. Eagles. _________. AMERICA!
Humanity Hates Trump: Base Set,Hillary will never get it. I will tell you that right now.
Humanity Hates Trump: Base Set,How's my hair look? Like _________.
Humanity Hates Trump: Base Set,I always want to think of myself as _________.
Humanity Hates Trump: Base Set,I beat _________ all the time!
Humanity Hates Trump: Base Set,I cleared my email history because of _________.
Humanity Hates Trump: Base Set,I have never seen a thin person drinking _________.
Humanity Hates Trump: Base Set,I judge people based on their _________ and _________.
Humanity Hates Trump: Base Set,I played golf with my friends and then I started to play with _________.
Humanity Hates Trump: Base Set,I think the only difference between me and the other candidates is that I'm more honest and my _________ is/are more beautiful.
Humanity Hates Trump: Base Set,In 2020 Donald Trump will finally declare war on __________.
Humanity Hates Trump: Base Set,My wife Melania will be a great First Lady. Her most important platform will be _________.
Humanity Hates Trump: Base Set,Ooops. I Did It Again.
Humanity Hates Trump: Base Set,Our great African-American President hasn't exactly had a positive impact on (the) _________ who are so happily and openly destroying Baltimore.
Humanity Hates Trump: Base Set,Owning your own _________ gives you great power.
Humanity Hates Trump: Base Set,The primary has been 0 days without (a) _________.
Humanity Hates Trump: Base Set,The US Citizens were shocked to discover that _________ was under Trump's hair all along.
Humanity Hates Trump: Base Set,The world is going to end when _________ falls on the earth and _________ will be everywhere.
Humanity Hates Trump: Base Set,These don't belong in government.
Humanity Hates Trump: Base Set,Trump and I wouldn't get along because of _________.
Humanity Hates Trump: Base Set,Trump bans _________ 6 months into his presidency.
Humanity Hates Trump: Base Set,What do Hillary Clinton and Rosie O'Donnell have in common?
Humanity Hates Trump: Base Set,What separates the winners from the losers is how a person reacts to _________.
Humanity Hates Trump: Base Set,Where do babies come from?
Humanity Hates Trump: Base Set,Who is Trump suing next?
Humanity Hates Trump: Base Set,Why am I in jail?
Humanity Hates Trump: Base Set,Why did Donald Trump cross the border?
Humanity Hates Trump: Base Set,Why did Trump win the nomination?
Humanity Hates Trump: Base Set,WWIII started as a result of Trump's ________.
