Label,prompt
Humanity Hates the Holidays "Love" Edition,Believe in the magic of _______.
Humanity Hates the Holidays "Love" Edition,Can you feel the ______ tonight?
Humanity Hates the Holidays "Love" Edition,Cupid is known for this ______.
Humanity Hates the Holidays "Love" Edition,Every kiss begins with _______.
Humanity Hates the Holidays "Love" Edition,Getting drunk on Valentine's Day usually leads to ______.
Humanity Hates the Holidays "Love" Edition,He got harder than a rock afeter he saw _______.
Humanity Hates the Holidays "Love" Edition,I can't believe he proposed to me with ______ instead of a ring.
Humanity Hates the Holidays "Love" Edition,I can't believe my sister wrote in her diary about ______.
Humanity Hates the Holidays "Love" Edition,I found my mom's dildo and traded it for ______.
Humanity Hates the Holidays "Love" Edition,I gave my girlfriend a B- because she didn't use (a/the) _______.
Humanity Hates the Holidays "Love" Edition,I hate Cupid because (of) _______.
Humanity Hates the Holidays "Love" Edition,I love you more than _______.
Humanity Hates the Holidays "Love" Edition,My girlfriend gave me chocolate-covered _______.
Humanity Hates the Holidays "Love" Edition,Only you can prevent _______.
Humanity Hates the Holidays "Love" Edition,Our waitress at Hooters™ showed us her _______.
Humanity Hates the Holidays "Love" Edition,Our wedding night consisted of ______ and _______.
Humanity Hates the Holidays "Love" Edition,Sex: Making _______ great again.
Humanity Hates the Holidays "Love" Edition,She just got a new tramp stamp of ______.
Humanity Hates the Holidays "Love" Edition,St. Valentine: Patron Saint of ______.
Humanity Hates the Holidays "Love" Edition,The Cosmo-sex-act-of-the-month: ______. Surprise him with it tonight!
Humanity Hates the Holidays "Love" Edition,The true meaning of love is _______.
Humanity Hates the Holidays "Love" Edition,What can ______ do for you?
Humanity Hates the Holidays "Love" Edition,What Cinderella really asked of her Fairy Godmother is _______.
Humanity Hates the Holidays "Love" Edition,Why do I like you?
