Label,prompt
Carbs of the Huge Manatee: Dance Expansion 1,I knew he/she was creepy when _______________.
Carbs of the Huge Manatee: Dance Expansion 1,I really hope the picture of me _______________ doesn't show up in the facebook photo album.
Carbs of the Huge Manatee: Dance Expansion 1,Mambo is a dance. Salsa is a _______________.
Carbs of the Huge Manatee: Dance Expansion 1,My dancing would really improve if I worked on two things: my connection and _______________.
Carbs of the Huge Manatee: Dance Expansion 1,Old- and new-school dancers alike were surprised with the success of the _______________ room at our Friday night dance.
Carbs of the Huge Manatee: Dance Expansion 1,The _______________ Dance Exchange
Carbs of the Huge Manatee: Dance Expansion 1,The old argument of “Hollywood” vs. “Savoy” is mirrored in the real world by “_______________” vs. “_______________.”
Carbs of the Huge Manatee: Dance Expansion 1,Wanna dance? I've been taking _______________.
Carbs of the Huge Manatee: Dance Expansion 1,Why did the fusion exchanges end?
Carbs of the Huge Manatee: Dance Expansion 1,I knew he/she was creepy when _______________.
Carbs of the Huge Manatee: Dance Expansion 1,I really hope the picture of me _______________ doesn't show up in the facebook photo album.
Carbs of the Huge Manatee: Dance Expansion 1,Mambo is a dance. Salsa is a _______________.
Carbs of the Huge Manatee: Dance Expansion 1,My dancing would really improve if I worked on two things: my connection and _______________.
Carbs of the Huge Manatee: Dance Expansion 1,Old- and new-school dancers alike were surprised with the success of the _______________ room at our Friday night dance.
Carbs of the Huge Manatee: Dance Expansion 1,The _______________ Dance Exchange
Carbs of the Huge Manatee: Dance Expansion 1,The old argument of “Hollywood” vs. “Savoy” is mirrored in the real world by “_______________” vs. “_______________.”
Carbs of the Huge Manatee: Dance Expansion 1,Wanna dance? I've been taking _______________.
Carbs of the Huge Manatee: Dance Expansion 1,Why did the fusion exchanges end?
