Label,response
KinderPerfect: Tween Expansion Pack,A call from the police
KinderPerfect: Tween Expansion Pack,A mysteriously deleted browser history
KinderPerfect: Tween Expansion Pack,A postiive STD test
KinderPerfect: Tween Expansion Pack,A skirt too short
KinderPerfect: Tween Expansion Pack,Acne
KinderPerfect: Tween Expansion Pack,An encyclopedic knowledge of pop music but no clue about algebra
KinderPerfect: Tween Expansion Pack,An uncontrollable erection
KinderPerfect: Tween Expansion Pack,Annoying Snapchat filters
KinderPerfect: Tween Expansion Pack,Arguing about their hygiene
KinderPerfect: Tween Expansion Pack,Awkward gym showers
KinderPerfect: Tween Expansion Pack,AXE deodorant spray clouds
KinderPerfect: Tween Expansion Pack,Being the "hangout house"
KinderPerfect: Tween Expansion Pack,Being too cool for mom
KinderPerfect: Tween Expansion Pack,Catching them shoplifting from the 7-11
KinderPerfect: Tween Expansion Pack,Choosing a high school for its sports team
KinderPerfect: Tween Expansion Pack,Code phrases to signify menstrual periods
KinderPerfect: Tween Expansion Pack,Counting the days until they move out
KinderPerfect: Tween Expansion Pack,Crushing birth control pills into her breakfast every morning
KinderPerfect: Tween Expansion Pack,Debating your closely held beliefs with a skeptical tween
KinderPerfect: Tween Expansion Pack,Demanding an end to video game addiction
KinderPerfect: Tween Expansion Pack,Expecting abstinence
KinderPerfect: Tween Expansion Pack,Explaining the news to a smart-ass teen
KinderPerfect: Tween Expansion Pack,Finding out your son is a peeping tom
KinderPerfect: Tween Expansion Pack,Finding their profile on Tinder
KinderPerfect: Tween Expansion Pack,Finding your teen at the local strip club
KinderPerfect: Tween Expansion Pack,Getting high with your teen
KinderPerfect: Tween Expansion Pack,Getting revenge by changing the Wi-Fi password
KinderPerfect: Tween Expansion Pack,Giving them "the talk"
KinderPerfect: Tween Expansion Pack,Halloween costumes that cross the line
KinderPerfect: Tween Expansion Pack,Her first time wearing makeup
KinderPerfect: Tween Expansion Pack,Hiding the phone chargers to get them to do their homework
KinderPerfect: Tween Expansion Pack,His first attempt at a mustache
KinderPerfect: Tween Expansion Pack,His first box of condoms
KinderPerfect: Tween Expansion Pack,Junior high drama
KinderPerfect: Tween Expansion Pack,Learning how to twerk from your teen
KinderPerfect: Tween Expansion Pack,Maxing out the credit card in one weekend
KinderPerfect: Tween Expansion Pack,Middle school flashbacks
KinderPerfect: Tween Expansion Pack,Oversharing on social media
KinderPerfect: Tween Expansion Pack,Passing the driver's license test
KinderPerfect: Tween Expansion Pack,Peach fuzz pubes
KinderPerfect: Tween Expansion Pack,Pretending to enjoy their school concerts
KinderPerfect: Tween Expansion Pack,Puberty
KinderPerfect: Tween Expansion Pack,Realizing they are growing up to be just like you
KinderPerfect: Tween Expansion Pack,Relearning algebra to help them with homework
KinderPerfect: Tween Expansion Pack,School friends' uneducated views on sex
KinderPerfect: Tween Expansion Pack,Slamming doors
KinderPerfect: Tween Expansion Pack,Stealing your kid's weed
KinderPerfect: Tween Expansion Pack,Taking pride in their acceptance by the cool kids
KinderPerfect: Tween Expansion Pack,Teaching them how to properly stab their best friend in the back
KinderPerfect: Tween Expansion Pack,That time they got caught smoking in the school bathroom
KinderPerfect: Tween Expansion Pack,The constant narration of imaginary YouTube videos
KinderPerfect: Tween Expansion Pack,The drama of being chosen last at gym
KinderPerfect: Tween Expansion Pack,The groping teen
KinderPerfect: Tween Expansion Pack,The horror of a bad selfie
KinderPerfect: Tween Expansion Pack,The life-changing drama of today's breakup
KinderPerfect: Tween Expansion Pack,The Parents' Homework Hotline
KinderPerfect: Tween Expansion Pack,The squeaky voice of puberty
KinderPerfect: Tween Expansion Pack,The sudden interest in the opposite sex
KinderPerfect: Tween Expansion Pack,The unrelenting attitude that crushes any sanity you have left
KinderPerfect: Tween Expansion Pack,Their sh*tty taste in music
KinderPerfect: Tween Expansion Pack,Their sudden recognition of dirty jokes
KinderPerfect: Tween Expansion Pack,Their taste in teen movies
KinderPerfect: Tween Expansion Pack,True love! For the third time this week
KinderPerfect: Tween Expansion Pack,Two hour showers
KinderPerfect: Tween Expansion Pack,Watching their eyes glaze over when you start talking
KinderPerfect: Tween Expansion Pack,Wearing ear plugs to the tween pop concert
KinderPerfect: Tween Expansion Pack,Wishing they'd waste weekends playing Dungeons and Dragons like you did
KinderPerfect: Tween Expansion Pack,Wondering how your parents ever survived your teen years
KinderPerfect: Tween Expansion Pack,Wondering whose thing is in the wash
