Label,prompt
Cats Abiding Horribly: Episode III - The SJWs Strike Back,After a long and secret battle with ______. Larry King sadly passed away this morning.
Cats Abiding Horribly: Episode III - The SJWs Strike Back,After my parents abandoned me I was raised by _______.
Cats Abiding Horribly: Episode III - The SJWs Strike Back,An angry riot broke out on campus were triggered by a speech made by ______ about ______.
Cats Abiding Horribly: Episode III - The SJWs Strike Back,Dad left the family when I was only a baby because of his desire to be ______.
Cats Abiding Horribly: Episode III - The SJWs Strike Back,Get rich or die ______.
Cats Abiding Horribly: Episode III - The SJWs Strike Back,I was fired from my last job because on a random check they found traces of ______ in my blood.
Cats Abiding Horribly: Episode III - The SJWs Strike Back,I will vote for any politician that promises me an unlimited supply of ______.
Cats Abiding Horribly: Episode III - The SJWs Strike Back,Me a racist? I don't think so. You know how many of my friends are ______?
Cats Abiding Horribly: Episode III - The SJWs Strike Back,My vacation to the Amazon ended with me sucking out venom from _______.
Cats Abiding Horribly: Episode III - The SJWs Strike Back,One of Prince's lesser known names was "______ formerly known as ______"
Cats Abiding Horribly: Episode III - The SJWs Strike Back,The most treasured possession from my many adventures are the mummified remains of ______.
Cats Abiding Horribly: Episode III - The SJWs Strike Back,Weirdest thing I've ever seen in Central Park? A woman breastfeeding ______.
Cats Abiding Horribly: Episode III - The SJWs Strike Back,What's wrong? You look like you've seen ______.
Cats Abiding Horribly: Episode III - The SJWs Strike Back,Why haven't aliens visited us yet?
Cats Abiding Horribly: Episode III - The SJWs Strike Back,You + Me = ______.
