Label,prompt
KinderPerfect: Naughty Expansion Pack,A Disney princess would never know about ______.
KinderPerfect: Naughty Expansion Pack,Did you read the Scary Mommy blog post about ______?
KinderPerfect: Naughty Expansion Pack,I won the Mean Parent Award today with _______.
KinderPerfect: Naughty Expansion Pack,I'm getting too old for ______.
KinderPerfect: Naughty Expansion Pack,My secret guilty pleasure.
KinderPerfect: Naughty Expansion Pack,Now on Netflix: ______.
KinderPerfect: Naughty Expansion Pack,Parenting would be incomplete without ______.
KinderPerfect: Naughty Expansion Pack,Pediatricians agree that ______ will not harm children.
KinderPerfect: Naughty Expansion Pack,The best reason for a vasectomy.
KinderPerfect: Naughty Expansion Pack,The best reason to get a babysitter.
KinderPerfect: Naughty Expansion Pack,This morning's hangover is brought to you by ______.
KinderPerfect: Naughty Expansion Pack,What else could go wrong?
KinderPerfect: Naughty Expansion Pack,What is my secret parental power?
KinderPerfect: Naughty Expansion Pack,Why my first marriage ended in divorce.
KinderPerfect: Naughty Expansion Pack,Why will mommy get arrested?
