Label,response
KinderPerfect (Commercial Set),A 3-year-old nudist
KinderPerfect (Commercial Set),A Band-Aid obsession
KinderPerfect (Commercial Set),A broken condom
KinderPerfect (Commercial Set),A car seat covered in crushed Cheerios
KinderPerfect (Commercial Set),A cheap ass Tooth Fairy
KinderPerfect (Commercial Set),A crowning selfie
KinderPerfect (Commercial Set),A double shot
KinderPerfect (Commercial Set),A dozen toddlers on a sugar high
KinderPerfect (Commercial Set),A formal goldfish funeral
KinderPerfect (Commercial Set),A freezer full of breastmilk
KinderPerfect (Commercial Set),A good night's sleep
KinderPerfect (Commercial Set),A half-assed drawing taped to the refrigerator
KinderPerfect (Commercial Set),A headless Barbie doll
KinderPerfect (Commercial Set),A hot Brazilian nanny
KinderPerfect (Commercial Set),A leaky vasectomy
KinderPerfect (Commercial Set),A massage. Just a massage.
KinderPerfect (Commercial Set),A misplaced IUD
KinderPerfect (Commercial Set),A misplaced pee-pee teepee
KinderPerfect (Commercial Set),A night alone with the kids
KinderPerfect (Commercial Set),A participation trophy
KinderPerfect (Commercial Set),A permanent marker Picasso
KinderPerfect (Commercial Set),A permission slip signed in crayon
KinderPerfect (Commercial Set),A Pinterest fail
KinderPerfect (Commercial Set),A poop mural
KinderPerfect (Commercial Set),A poopy finger
KinderPerfect (Commercial Set),A poorly-planned quickie
KinderPerfect (Commercial Set),A positive paternity test
KinderPerfect (Commercial Set),A sea of puzzle pieces
KinderPerfect (Commercial Set),A sexy fertility doctor
KinderPerfect (Commercial Set),A sippy cup full of curdled milk
KinderPerfect (Commercial Set),A six-month-old bag of Halloween candy
KinderPerfect (Commercial Set),A smartphone in the toilet
KinderPerfect (Commercial Set),A sneaky little devil
KinderPerfect (Commercial Set),A sticky remote control
KinderPerfect (Commercial Set),A sugar-high rampage
KinderPerfect (Commercial Set),A tween who knows everything
KinderPerfect (Commercial Set),A well-hung toddler
KinderPerfect (Commercial Set),Accepting a Google Calendarinvite for date night
KinderPerfect (Commercial Set),Adderall and apple juice
KinderPerfect (Commercial Set),An angel at school and a devil at home
KinderPerfect (Commercial Set),An awkward silence
KinderPerfect (Commercial Set),An endless mountain of dirty clothes
KinderPerfect (Commercial Set),An extra hour of screen time
KinderPerfect (Commercial Set),An undescended testicle
KinderPerfect (Commercial Set),Anatomically correct dolls
KinderPerfect (Commercial Set),Another box of Girl Scout Cookies
KinderPerfect (Commercial Set),Another damn fundraiser
KinderPerfect (Commercial Set),Another damn stuffed animal
KinderPerfect (Commercial Set),Another day without a bath
KinderPerfect (Commercial Set),Another failed family photo
KinderPerfect (Commercial Set),Another positive pregnancy test
KinderPerfect (Commercial Set),Another unflushed toilet
KinderPerfect (Commercial Set),Anti-vax parents
KinderPerfect (Commercial Set),Baby daddy drama
KinderPerfect (Commercial Set),Baby wipes for everything
KinderPerfect (Commercial Set),Beer cooler at the birthday party
KinderPerfect (Commercial Set),Being someone's full-time snack bitch.
KinderPerfect (Commercial Set),Benadryl at bedtime
KinderPerfect (Commercial Set),Binge watching Netflix
KinderPerfect (Commercial Set),Black market breastmilk
KinderPerfect (Commercial Set),Blasting the radio to drown out the whining
KinderPerfect (Commercial Set),Breast milk coffee creamer
KinderPerfect (Commercial Set),Breastfeeding in a moving car
KinderPerfect (Commercial Set),Bribing your way into preschool
KinderPerfect (Commercial Set),Bringing home a puppy
KinderPerfect (Commercial Set),Butt cream for everything
KinderPerfect (Commercial Set),Buying pregnancy tests from the dollar store
KinderPerfect (Commercial Set),Buying the toy to get out of the store
KinderPerfect (Commercial Set),Buying your daughter's first tampons
KinderPerfect (Commercial Set),Catching puke with your bare hands
KinderPerfect (Commercial Set),Cereal for dinner
KinderPerfect (Commercial Set),Changing a diaper one-handed
KinderPerfect (Commercial Set),Chasing poop in the bathtub … again!
KinderPerfect (Commercial Set),Chocolate or poop?
KinderPerfect (Commercial Set),Choosing pet food over my carefully prepared dinner
KinderPerfect (Commercial Set),Co-sleeping till college
KinderPerfect (Commercial Set),Cockblocking bayb cries
KinderPerfect (Commercial Set),Coitus interruptus
KinderPerfect (Commercial Set),Common Core math
KinderPerfect (Commercial Set),Conceiving on the first date
KinderPerfect (Commercial Set),Crayon-colored vomit
KinderPerfect (Commercial Set),Crying over spilled breast milk
KinderPerfect (Commercial Set),Curse words in church
KinderPerfect (Commercial Set),Daddy
KinderPerfect (Commercial Set),Daddy said I could
KinderPerfect (Commercial Set),Daddy's Grindr account
KinderPerfect (Commercial Set),Daughter drama
KinderPerfect (Commercial Set),Day drinking with Daddy
KinderPerfect (Commercial Set),Day-old dirty diapers
KinderPerfect (Commercial Set),Debating cartoon logic
KinderPerfect (Commercial Set),Debating circumcision
KinderPerfect (Commercial Set),Demon spawn
KinderPerfect (Commercial Set),Diaper cream EVERYWHERE!
KinderPerfect (Commercial Set),Doing child drop-off in your pajamas
KinderPerfect (Commercial Set),Doing the bare ass minimum
KinderPerfect (Commercial Set),Doing the Mickey Mouse Clubhouse "Hot Dog Dance"
KinderPerfect (Commercial Set),Doing the Paw Patrol "Pup Pup Boogie"
KinderPerfect (Commercial Set),Drinking from the dog bowl
KinderPerfect (Commercial Set),Drop-off birthday parties
KinderPerfect (Commercial Set),Dropping the F-bomb
KinderPerfect (Commercial Set),Eating grandpa's Viagra
