Label,response
Dad Pack,A positive male role model.
Dad Pack,Coaching the 7th grade girls basketball team.
Dad Pack,Dad coming home drunk.
Dad Pack,Dad's big sex night.
Dad Pack,Dad's famous chili.
Dad Pack,Divorce.
Dad Pack,Dolby® Digital Surround Sound.
Dad Pack,Emotional unavailability.
Dad Pack,Finding a place to sit down.
Dad Pack,Flirting with the ladies at the bank.
Dad Pack,Forty-two years of repressed homosexuality.
Dad Pack,Going bald.
Dad Pack,Having a bunch of kids by accident.
Dad Pack,Having a heart attack.
Dad Pack,Kidnapping Liam Neeson's daughter.
Dad Pack,Making the printer work.
Dad Pack,Puns.
Dad Pack,Sitting on the toilet for 45 minutes.
Dad Pack,Standing in the middle of the living room holding two remote controls.
Dad Pack,Stealing a child's nose and keeping it forever.
Dad Pack,The nipples of a man.
Dad Pack,The son of a bitch who knocked up my daughter.
Dad Pack,Tripping on an object and becoming angry.
Dad Pack,What Dad has to say about Muslims.
