Label,prompt
Bad Hombres Against Fake News Pack 1,A Bad Hombres' celebration always include ______.
Bad Hombres Against Fake News Pack 1,A day in the life of a Bad Hombre has plenty of _______.
Bad Hombres Against Fake News Pack 1,A good solution for the Bad Hombres dilemma would be _______.
Bad Hombres Against Fake News Pack 1,A trip to Mexico can make you so happy because of ______.
Bad Hombres Against Fake News Pack 1,Bad Hombres actually enjoy _______.
Bad Hombres Against Fake News Pack 1,Bad Hombres' biggest weakness is _______.
Bad Hombres Against Fake News Pack 1,How will Mexico pay for the wall?
Bad Hombres Against Fake News Pack 1,Mexico and U.S. will reunite once they get rid of _______.
Bad Hombres Against Fake News Pack 1,Telemundo will make a fortune with a reality show about _______.
Bad Hombres Against Fake News Pack 1,The best part of losing my virginity in Mexico was _______.
Bad Hombres Against Fake News Pack 1,The real hobby of El Chapo is _______.
Bad Hombres Against Fake News Pack 1,The real reason that Bad Hombres should be kicked out of the U.S. is ________.
Bad Hombres Against Fake News Pack 1,Trump's Spanish pronunciation provokes _______.
Bad Hombres Against Fake News Pack 1,What are Bad Hombres full of?
Bad Hombres Against Fake News Pack 1,What are Bad Hombres proud of?
Bad Hombres Against Fake News Pack 1,What do Bad Hombres' real housewives like?
Bad Hombres Against Fake News Pack 1,What gets Bad Hombres horny?
Bad Hombres Against Fake News Pack 1,What is a Bad Hombre afraid of?
Bad Hombres Against Fake News Pack 1,What is always in the mind of a Bad Hombre?
Bad Hombres Against Fake News Pack 1,What is the biggest problem with Bad Hombres crossing the border?
Bad Hombres Against Fake News Pack 1,What is the reason to protect the Bad Hombres?
Bad Hombres Against Fake News Pack 1,What is Trump's worst nightmare?
Bad Hombres Against Fake News Pack 1,What makes Bad Hombres laugh hysterically?
Bad Hombres Against Fake News Pack 1,What would not be fake news?
Bad Hombres Against Fake News Pack 1,What's a Bad Hombre best friend?
Bad Hombres Against Fake News Pack 1,What's trending among Bad Hombres?
Bad Hombres Against Fake News Pack 1,Why am I loving my Bad Hombre?
Bad Hombres Against Fake News Pack 1,Why do some Americans like the wall?
Bad Hombres Against Fake News Pack 1,Why hasn't my friend crossed the border?
Bad Hombres Against Fake News Pack 1,Why is Donald Trump obsessed with the wall?
