Label,prompt
Clams Attempt Harmonica, Volume 1,A new study shows that period cramps are actually caused by _____ and _____.
Clams Attempt Harmonica, Volume 1,DC is really scraping the bottom of the barrel with the new Batman movie. They're calling it Batman: _____.
Clams Attempt Harmonica, Volume 1,He kept yelling "_____"!  I didn't know it was his safe word!
Clams Attempt Harmonica, Volume 1,Imagine our shock when we walked in on our son live streaming _____ to the world.  He is SO grounded.
Clams Attempt Harmonica, Volume 1,Jenny McCarthy has moved on from vaccines and is now spreading misinformation that _____ causes autism.
Clams Attempt Harmonica, Volume 1,Mommy?  What does _____ mean?
Clams Attempt Harmonica, Volume 1,Our church?  We go to St. James of _____.
Clams Attempt Harmonica, Volume 1,What are 3 things you didn't learn in school?
Clams Attempt Harmonica, Volume 1,What are the 3 secrets for a long and happy marriage?
Clams Attempt Harmonica, Volume 1,What killed the mood?
Clams Attempt Harmonica, Volume 1,You're never fully clean unless you're _____!
Clams Attempt Harmonica, Volume 1,Your mom's name is Brenda because _____ was already taken!
Clams Attempt Harmonica, Volume 1,YouTube is now demonetizing any videos containing _____.
