Label,prompt
Skewered And Roasted,A first date with me would include ________.
Skewered And Roasted,A fun outing with my dad always included ________.
Skewered And Roasted,A night of decadence must include ________.
Skewered And Roasted,A reality series based on my life would be titled ________.
Skewered And Roasted,A typical family dinner would be incomplete without ________.
Skewered And Roasted,All I want for Christmas is ________.
Skewered And Roasted,All of my friends agree. I would be so much better if it were not for ________.
Skewered And Roasted,Everyday I dress up like ________.
Skewered And Roasted,Everyone knows that I'm trustworthy because I have ________.
Skewered And Roasted,Good sex = ________ + ________.
Skewered And Roasted,I am a positive person and attract positive events to my life because
Skewered And Roasted,I am grateful for all my blessings especially ________.
Skewered And Roasted,I am loved and loving. I deserve to receive ________.
Skewered And Roasted,I am the master of ________.
Skewered And Roasted,I base my sense of self worth on ________.
Skewered And Roasted,I believe refugees have an innate human right to receive ________.
Skewered And Roasted,I can prepare ________ really well for ________.
Skewered And Roasted,I can't possibly live without ________.
Skewered And Roasted,I could never refuse ________.
Skewered And Roasted,I donated $500 to support ________ in Africa.
Skewered And Roasted,I have ________ under my covers
Skewered And Roasted,I have a secret altar worshipping ________.
Skewered And Roasted,I have been given a lifetime honorary membership to ________ club.
Skewered And Roasted,I have trouble succeeding without ________.
Skewered And Roasted,I just got fined for the improper use of ________.
Skewered And Roasted,I like ________ and I cannot lie.
Skewered And Roasted,I like long walks on the beach and ________.
Skewered And Roasted,I lost my virginity to ________.
Skewered And Roasted,I make all of my major life descisions based on ________.
Skewered And Roasted,I spent all summer working on ________.
Skewered And Roasted,I think that children are good for ________.
Skewered And Roasted,I value ________.
Skewered And Roasted,I want inner city children to all have ________.
Skewered And Roasted,I'm good at connecting with people because I have ________.
Skewered And Roasted,I’ve always dreamt of ________.
Skewered And Roasted,It is my belief that ________ would improve racial relations worldwide.
Skewered And Roasted,Me + ________ = ________.
Skewered And Roasted,My earliest childhood memory is of ________.
Skewered And Roasted,My first love was ________.
Skewered And Roasted,My first sexual encounter involved ________.
Skewered And Roasted,My greatest asset is ________.
Skewered And Roasted,My greatest sexual fantasy involves ________.
Skewered And Roasted,My main goal in life is ________.
Skewered And Roasted,My million dollar idea combines ________ with ________.
Skewered And Roasted,My mom and dad told me about sex using ________ for illustration.
Skewered And Roasted,My mom said that ________ helps the medicine go down.
Skewered And Roasted,My mom stressed the importance of ________.
Skewered And Roasted,My most significant contribution to this group is ________.
Skewered And Roasted,My previous relationship didn't work out because of ________.
Skewered And Roasted,My relationship with my mother could be best described as ________.
Skewered And Roasted,My secret to good sex is ________.
Skewered And Roasted,One workplace idea I successfully implemented was ________.
Skewered And Roasted,People are always saying that I excel at ________.
Skewered And Roasted,The best moment of my life had ________ and ________.
Skewered And Roasted,The hardest part of my life was when I was dealing with ________.
Skewered And Roasted,The key to a successful marriage is ________.
Skewered And Roasted,The most awkward moment of my life featured ________ and ________.
Skewered And Roasted,The most important responsibility of my last position was ________.
Skewered And Roasted,The secret to my success at work is ________.
Skewered And Roasted,The self help book I just bought is going to help me deal with ________.
Skewered And Roasted,When I think about ________ I touch myself.
