Label,prompt
CAH: First Expansion,An international tribunal has found ______ guilty of ______.
CAH: First Expansion,Future historians will agree that ______ marked the beginning of America's decline.
CAH: First Expansion,He who controls ______ controls the world.
CAH: First Expansion,I learned the hard way that you can't cheer up a grieving friend with ______.
CAH: First Expansion,Michael Bay's new three-hour action epic pits ______ against ______.
CAH: First Expansion,My plan for world domination begins with ______.
CAH: First Expansion,Science will never explain ______.
CAH: First Expansion,The CIA now interrogates enemy agents by repeatedly subjecting them to ______.
CAH: First Expansion,The socialist governments of Scandinavia have declared that access to ______ is a basic human right.
CAH: First Expansion,What brought the orgy to a grinding halt?
CAH: First Expansion,What has been making life difficult at the nudist colony?
CAH: First Expansion,What's the gift that keeps on giving?
CAH: First Expansion,An international tribunal has found ______ guilty of ______.
CAH: First Expansion,Future historians will agree that ______ marked the beginning of America's decline.
CAH: First Expansion,He who controls ______ controls the world.
CAH: First Expansion,I learned the hard way that you can't cheer up a grieving friend with ______.
CAH: First Expansion,Michael Bay's new three-hour action epic pits ______ against ______.
CAH: First Expansion,My plan for world domination begins with ______.
CAH: First Expansion,Science will never explain ______.
CAH: First Expansion,The CIA now interrogates enemy agents by repeatedly subjecting them to ______.
CAH: First Expansion,The socialist governments of Scandinavia have declared that access to ______ is a basic human right.
CAH: First Expansion,What brought the orgy to a grinding halt?
CAH: First Expansion,What has been making life difficult at the nudist colony?
CAH: First Expansion,What's the gift that keeps on giving?
