Label,prompt
2016 Election Game ,A nefarious source tells Fox that Trump has his own secret plan to replace the Cabinet with _________.
2016 Election Game ,A new poll shows that _________ is only 6 points ahead.
2016 Election Game ,Don't judge me too hard -- I voted for _________.
2016 Election Game ,Donald Trump keeps tweeting about _________.
2016 Election Game ,Free trade is terrible. Free trade can be wonderful if you have smart people in office. But we have _________.
2016 Election Game ,Hillary loves her new Snapchat account because the messages she sends about _________ disappear all by themselves.
2016 Election Game ,How do you balance the ego needed to be POTUS and the humility to lead?
2016 Election Game ,How will the DNC hold back Bernie Sanders?
2016 Election Game ,How will we defeat ISIS?
2016 Election Game ,I am the least racist person there is. I'm even friends with _________.
2016 Election Game ,I'm pretty sure "fundraising" is just a euphemism for _________.
2016 Election Game ,Investing in _________ was a total waste of money.
2016 Election Game ,It's so easy to hack the CIA. Even _________ can do it.
2016 Election Game ,Liberals need to stop being so politically correct and start talking about _________.
2016 Election Game ,Make _________ great again.
2016 Election Game ,Marco Rubio's only accomplishment in the Senate was _________.
2016 Election Game ,One thing all Republican candidates have in common? All of them are going to say that they want to destroy _________.
2016 Election Game ,Right-wingin' bitter-clingin' proud clingers of our guns our God and our religion and _________.
2016 Election Game ,Somebody's doing the raping? Who's doing the raping?
2016 Election Game ,The American people are sick and tired of hearing about _________.
2016 Election Game ,The most common search on POLITICO?
2016 Election Game ,The most sought-after endorsement?
2016 Election Game ,The solution to our economic troubles?
2016 Election Game ,This just in: Bill Clinton allegedly had an affair with _________.
2016 Election Game ,Tune in for _________ on Fox Business.
2016 Election Game ,We are going to build a wall and make _________ pay for it.
2016 Election Game ,What evidence do you have that the Mexican government is sending criminals across the border?
2016 Election Game ,What will cause the third world war?
2016 Election Game ,Which enemy is Hillary Clinton most proud of?
2016 Election Game ,Who will be behind the next birther controversy?
