Label,prompt
The Catholic Card Game: Base Deck,A Catholic's secret guilty pleasure.
The Catholic Card Game: Base Deck,A denied Gospel spoke about ______.
The Catholic Card Game: Base Deck,A lesser-known Bible story is about ______.
The Catholic Card Game: Base Deck,A nun's favorite thing about her order is ______.
The Catholic Card Game: Base Deck,Ain't no party like a Catholic party because a Catholic party has ______.
The Catholic Card Game: Base Deck,An EWTN Original Series: ______.
The Catholic Card Game: Base Deck,And they'll know we are Christians by our ______.
The Catholic Card Game: Base Deck,Another reason Saul was knocked off his horse on his way to Damascus.
The Catholic Card Game: Base Deck,Being Catholic is the best because of ______.
The Catholic Card Game: Base Deck,Catechsism #2866 talks about ______.
The Catholic Card Game: Base Deck,Catholic millenials are known for ______.
The Catholic Card Game: Base Deck,Catholics are tired of talking about ______ with non-Catholics.
The Catholic Card Game: Base Deck,Contemplating ______ takes up a lot of my prayer time.
The Catholic Card Game: Base Deck,David's secret weapon to defeat Goliath was ______.
The Catholic Card Game: Base Deck,Doubting Thomas wished he was known for ______.
The Catholic Card Game: Base Deck,Every Catholic girl's dream.
The Catholic Card Game: Base Deck,I am guilty of ______.
The Catholic Card Game: Base Deck,I got seven deadly sins but ______ ain't one.
The Catholic Card Game: Base Deck,I hope my tithe goes to providing ______ to the Church.
The Catholic Card Game: Base Deck,I saw visions of ______ after ______.
The Catholic Card Game: Base Deck,I will be canonized for ______.
The Catholic Card Game: Base Deck,I would be the Patron Saint of _____.
The Catholic Card Game: Base Deck,I would like ______ for Christmas.
The Catholic Card Game: Base Deck,I'm a bad Catholic because of ______.
The Catholic Card Game: Base Deck,Jesus performed the miracle of ______ but it was never recorded.
The Catholic Card Game: Base Deck,Jesus specialized in ______ before his public ministry.
The Catholic Card Game: Base Deck,Jesus would never be caught ______.
The Catholic Card Game: Base Deck,Martin Luther just couldn't wrap his head around ______.
The Catholic Card Game: Base Deck,Mel Gibson's newest movie is titled: "______".
The Catholic Card Game: Base Deck,Michelangelo's newest painting is titled ______.
The Catholic Card Game: Base Deck,NET Ministries uses _____ to liven up their retreats.
The Catholic Card Game: Base Deck,Other things Abraham could have sacrificed.
The Catholic Card Game: Base Deck,Priests think about ______ in their free time.
The Catholic Card Game: Base Deck,Records of ______ are found in the Secret Vatican Archives.
The Catholic Card Game: Base Deck,Saints pray for people who struggle with ______.
The Catholic Card Game: Base Deck,Seminarins talk about ______ after class.
The Catholic Card Game: Base Deck,St. Nicholas brought ______ to kids for Christmas for the first time.
The Catholic Card Game: Base Deck,The 11th commandment is about ______.
The Catholic Card Game: Base Deck,The 1th plague: ______.
The Catholic Card Game: Base Deck,The best pilgrimages offer ______ to its pilgrims.
The Catholic Card Game: Base Deck,The Easter Vigil Mass is so long because of ______.
The Catholic Card Game: Base Deck,The hills are alive with the sound of ______.
The Catholic Card Game: Base Deck,The New Evangelizatiopn's greatest tool is ______.
The Catholic Card Game: Base Deck,The newest Catholic podcast talks entirely about ______.
The Catholic Card Game: Base Deck,The newest hit hymn to hit the Church is called ______.
The Catholic Card Game: Base Deck,The next Council will be in response to ______.
The Catholic Card Game: Base Deck,The next shrine will be built for ______.
The Catholic Card Game: Base Deck,The pope is writing about ______ right now.
The Catholic Card Game: Base Deck,The real reason for the Orthodox schism.
The Catholic Card Game: Base Deck,The stained glass window in the back of church is about ______.
The Catholic Card Game: Base Deck,The topic of the next Paypal Encyclical.
The Catholic Card Game: Base Deck,The Youth Minister has a tattoo of ______.
The Catholic Card Game: Base Deck,There will be ______ in eternity.
The Catholic Card Game: Base Deck,Thing Jesus never spoke about.
The Catholic Card Game: Base Deck,We were taught about ______ in Religious Ed as kids.
The Catholic Card Game: Base Deck,What Catholics are most known for to non-Catholics.
The Catholic Card Game: Base Deck,What did I bring back from Rome?
The Catholic Card Game: Base Deck,What is CS Lewis' next book about?
The Catholic Card Game: Base Deck,What is talked about at the pub?
The Catholic Card Game: Base Deck,What priests really want to talk about in the homilies.
The Catholic Card Game: Base Deck,What should I give up for Lent?
The Catholic Card Game: Base Deck,You know you're Catholic when you love talking about ______.
The Catholic Card Game: Base Deck,You'll find this in Heaven.
The Catholic Card Game: Base Deck,Youth Ministers love talking about ______.
