Label,prompt
Cows Grilling Hamburgers - Patty Pack #1,Acid trips always start with _____ & end with _____.
Cows Grilling Hamburgers - Patty Pack #1,Ain't no sunshine when she's _____.
Cows Grilling Hamburgers - Patty Pack #1,Autopsy results show his penis was severed by _____.
Cows Grilling Hamburgers - Patty Pack #1,Blood is thicker than ________.
Cows Grilling Hamburgers - Patty Pack #1,Congress declared Marshall law because of _____ & _____.
Cows Grilling Hamburgers - Patty Pack #1,Donald Trump eats _____ for breakfast.
Cows Grilling Hamburgers - Patty Pack #1,Forgive me Father for I have sinned. It's been one week since my last ________.
Cows Grilling Hamburgers - Patty Pack #1,Hey little girl. What's that in your hand?
Cows Grilling Hamburgers - Patty Pack #1,How does one win the heart of a beautiful woman?
Cows Grilling Hamburgers - Patty Pack #1,I fill my butt with _____ for storage purposes.
Cows Grilling Hamburgers - Patty Pack #1,I was forced to resign when the pictures of _____ surfaced.
Cows Grilling Hamburgers - Patty Pack #1,I'm a glass half full of _____ kind of person.
Cows Grilling Hamburgers - Patty Pack #1,I'm getting to old for _____.
Cows Grilling Hamburgers - Patty Pack #1,If you let my daughter go now that'll be the end of it. I will not look for you. I will not pursue you. But if you don't. I will look for you.
Cows Grilling Hamburgers - Patty Pack #1,Kanye West attributes his genius to _____.
Cows Grilling Hamburgers - Patty Pack #1,Keep your ________ close but your enemies closer.
Cows Grilling Hamburgers - Patty Pack #1,Love means never having to sya________.
Cows Grilling Hamburgers - Patty Pack #1,Martial law was declared because ________ + ________ don't mix.
Cows Grilling Hamburgers - Patty Pack #1,Once you go ________ you should probably seek medical attention.
Cows Grilling Hamburgers - Patty Pack #1,Step 1. _____ Step 2. _____ Step 3. Party
Cows Grilling Hamburgers - Patty Pack #1,The CDC says the outbreak was due to _____.
Cows Grilling Hamburgers - Patty Pack #1,The yellow brick road actually leads to _____.
Cows Grilling Hamburgers - Patty Pack #1,There is only one way to handle this ISIS situation _____.
Cows Grilling Hamburgers - Patty Pack #1,Times Square is filling up with people protesting ________.
Cows Grilling Hamburgers - Patty Pack #1,What happened to my bed sheets?
Cows Grilling Hamburgers - Patty Pack #1,What is missing from my sex life?
Cows Grilling Hamburgers - Patty Pack #1,What is preventing my erection?
Cows Grilling Hamburgers - Patty Pack #1,What's the difference between me and you? You have you shit together and I like _____.
Cows Grilling Hamburgers - Patty Pack #1,Who or what is my spirit animal?
Cows Grilling Hamburgers - Patty Pack #1,Why haven't I gotten laid recently?
Cows Grilling Hamburgers - Patty Pack #1,Why so serious? _____. That’s why.
