Label,prompt
The Worst Card Game: 2016 National Edition,Check out my new podcast about ______ and ______.
The Worst Card Game: 2016 National Edition,How did I alone break the Chicago Cubs' curse?
The Worst Card Game: 2016 National Edition,How do I know if I have the Zika virus?
The Worst Card Game: 2016 National Edition,I got hot sauce in _____ swag.
The Worst Card Game: 2016 National Edition,It didn't take long before ______ replaed Harriet Tubman on the $20 bill.
The Worst Card Game: 2016 National Edition,Republicans vowed to only approve a Supreme Court justice that supports _______.
The Worst Card Game: 2016 National Edition,The only thing Harambe was truly guilty of was ______.
The Worst Card Game: 2016 National Edition,They never would have legalized marijuana in California without ______.
The Worst Card Game: 2016 National Edition,What did they find in Prince's vault?
The Worst Card Game: 2016 National Edition,What do vaccines really prevent?
The Worst Card Game: 2016 National Edition,What should be banned in North Carolina bathrooms?
The Worst Card Game: 2016 National Edition,What was my favorite event at the 2016 Rio Summer Olympics?
The Worst Card Game: 2016 National Edition,Check out my new podcast about ______ and ______.
The Worst Card Game: 2016 National Edition,How did I alone break the Chicago Cubs' curse?
The Worst Card Game: 2016 National Edition,How do I know if I have the Zika virus?
The Worst Card Game: 2016 National Edition,I got hot sauce in _____ swag.
The Worst Card Game: 2016 National Edition,It didn't take long before ______ replaed Harriet Tubman on the $20 bill.
The Worst Card Game: 2016 National Edition,Republicans vowed to only approve a Supreme Court justice that supports _______.
The Worst Card Game: 2016 National Edition,The only thing Harambe was truly guilty of was ______.
The Worst Card Game: 2016 National Edition,They never would have legalized marijuana in California without ______.
The Worst Card Game: 2016 National Edition,What did they find in Prince's vault?
The Worst Card Game: 2016 National Edition,What do vaccines really prevent?
The Worst Card Game: 2016 National Edition,What should be banned in North Carolina bathrooms?
The Worst Card Game: 2016 National Edition,What was my favorite event at the 2016 Rio Summer Olympics?
