Label,response
KinderPerfect: A Timeout For Parents (Kickstarter Set),A Band-Aid fetish
KinderPerfect: A Timeout For Parents (Kickstarter Set),A bottle of fine wine
KinderPerfect: A Timeout For Parents (Kickstarter Set),A broken condom
KinderPerfect: A Timeout For Parents (Kickstarter Set),A cheap ass Tooth Fairy
KinderPerfect: A Timeout For Parents (Kickstarter Set),A crowning selfie
KinderPerfect: A Timeout For Parents (Kickstarter Set),A double shot
KinderPerfect: A Timeout For Parents (Kickstarter Set),A false positive paternity test
KinderPerfect: A Timeout For Parents (Kickstarter Set),A formal goldfish funeral.
KinderPerfect: A Timeout For Parents (Kickstarter Set),A freezer full of breast milk
KinderPerfect: A Timeout For Parents (Kickstarter Set),A good night's sleep
KinderPerfect: A Timeout For Parents (Kickstarter Set),A half-assed drawing taped to the refrigerator
KinderPerfect: A Timeout For Parents (Kickstarter Set),A leaky vasectomy
KinderPerfect: A Timeout For Parents (Kickstarter Set),A misplaced IUD
KinderPerfect: A Timeout For Parents (Kickstarter Set),A night alone with the kids
KinderPerfect: A Timeout For Parents (Kickstarter Set),A participation trophy
KinderPerfect: A Timeout For Parents (Kickstarter Set),A Pinterest board of organized kid toys
KinderPerfect: A Timeout For Parents (Kickstarter Set),A poop mural A poopy finger
KinderPerfect: A Timeout For Parents (Kickstarter Set),A sexy fertility doctor
KinderPerfect: A Timeout For Parents (Kickstarter Set),A sippy cup fill of curdled milk
KinderPerfect: A Timeout For Parents (Kickstarter Set),A six-month old bag of Halloween candy
KinderPerfect: A Timeout For Parents (Kickstarter Set),A sticky remote control
KinderPerfect: A Timeout For Parents (Kickstarter Set),A strange silence
KinderPerfect: A Timeout For Parents (Kickstarter Set),A sugar-buzz rampage
KinderPerfect: A Timeout For Parents (Kickstarter Set),A well-hung toddler
KinderPerfect: A Timeout For Parents (Kickstarter Set),A&D Ointment for everything
KinderPerfect: A Timeout For Parents (Kickstarter Set),Adderall and apple juice
KinderPerfect: A Timeout For Parents (Kickstarter Set),Adult baby wipes
KinderPerfect: A Timeout For Parents (Kickstarter Set),An extra hour of screen time
KinderPerfect: A Timeout For Parents (Kickstarter Set),An iPhone in the toilet
KinderPerfect: A Timeout For Parents (Kickstarter Set),An undescended testicle
KinderPerfect: A Timeout For Parents (Kickstarter Set),Anatomically correct dolls.
KinderPerfect: A Timeout For Parents (Kickstarter Set),Another damn stuffed animal
KinderPerfect: A Timeout For Parents (Kickstarter Set),Another positive pregnancy test
KinderPerfect: A Timeout For Parents (Kickstarter Set),Artisanal hemp diapers
KinderPerfect: A Timeout For Parents (Kickstarter Set),Beer cooler at the birthday party
KinderPerfect: A Timeout For Parents (Kickstarter Set),Binge watching Netflix
KinderPerfect: A Timeout For Parents (Kickstarter Set),Breast milk coffee creamer
KinderPerfect: A Timeout For Parents (Kickstarter Set),Breastfeeding in a moving car
KinderPerfect: A Timeout For Parents (Kickstarter Set),Changing a diaper one-handed
KinderPerfect: A Timeout For Parents (Kickstarter Set),Chasing poop in the bathtub… again!
KinderPerfect: A Timeout For Parents (Kickstarter Set),Chocolate or poop?
KinderPerfect: A Timeout For Parents (Kickstarter Set),Co-sleeping till college
KinderPerfect: A Timeout For Parents (Kickstarter Set),Coitus interruptus
KinderPerfect: A Timeout For Parents (Kickstarter Set),Conceiving on the first date
KinderPerfect: A Timeout For Parents (Kickstarter Set),Crayon-colored vomit
KinderPerfect: A Timeout For Parents (Kickstarter Set),Crossing guards with booze breath
KinderPerfect: A Timeout For Parents (Kickstarter Set),Crying over spilled breast milk
KinderPerfect: A Timeout For Parents (Kickstarter Set),Dad bod
KinderPerfect: A Timeout For Parents (Kickstarter Set),Daddy?
KinderPerfect: A Timeout For Parents (Kickstarter Set),Daddy's Grindr account
KinderPerfect: A Timeout For Parents (Kickstarter Set),Daughter drama
KinderPerfect: A Timeout For Parents (Kickstarter Set),Day drinking with daddy
KinderPerfect: A Timeout For Parents (Kickstarter Set),Day-old dirty diapers
KinderPerfect: A Timeout For Parents (Kickstarter Set),Delicious dog food
KinderPerfect: A Timeout For Parents (Kickstarter Set),Demon spawn
KinderPerfect: A Timeout For Parents (Kickstarter Set),Doing child drop-off in your pajamas
KinderPerfect: A Timeout For Parents (Kickstarter Set),Doing the bare ass minimum
