Label,prompt
Conspiracy Theory,Airport scanners are really looking for ______.
Conspiracy Theory,California universities now offer a degree in ______.
Conspiracy Theory,Computer dating services have brought together ______ and ______.
Conspiracy Theory,Flashing web pages force you to love ______.
Conspiracy Theory,Fluoridation was the first step. Next in our water: ______.
Conspiracy Theory,Fossil evidence shows that ______ existed before humanity.
Conspiracy Theory,Half of all ______ are below average.
Conspiracy Theory,Home schooling is a plot by ______ for ______.
Conspiracy Theory,How do you explain crop circles?
Conspiracy Theory,I am being followed by ______.
Conspiracy Theory,I no longer believe in ______.
Conspiracy Theory,In my nightmares I'm being chased by ______.
Conspiracy Theory,Join ______ and help wipe out ______!
Conspiracy Theory,Keep ______ away from my ______!
Conspiracy Theory,Money from state lotteries goes to ______ to buy ______.
Conspiracy Theory,My relatives won't shut up about _____ at Thanksgiving.
Conspiracy Theory,My tinfoil hat blocks out ______.
Conspiracy Theory,Nanotech! All it does is make ______ smaller.
Conspiracy Theory,Next up: a wall to keep out ______.
Conspiracy Theory,Nine out of ten dentists agree that ______ causes cavities.
Conspiracy Theory,No one expects the ______!
Conspiracy Theory,One good thing about climate change -- it'll wipe out ______.
Conspiracy Theory,Really! Vaccines are responsible for _____!
Conspiracy Theory,The drones that deliver groceries today wil carry ______ tomorrow.
Conspiracy Theory,The final protector of law and order wil be ______.
Conspiracy Theory,The firefighters have secret orders to let ______ burn.
Conspiracy Theory,The greatest force for destruction of the 21st century is ______.
Conspiracy Theory,The New World Order is really just ______ on steroids.
Conspiracy Theory,The next big scandal will be ______ gate.
Conspiracy Theory,The next travel ban will be aimed at ______.
Conspiracy Theory,The secret agenda of the ______ is ______.
Conspiracy Theory,There's no gold in Fort Knox! It's full of ______.
Conspiracy Theory,They're calling up the National Guard to deal with ______.
Conspiracy Theory,They've discovered an exoplanet capable of supporting _______.
Conspiracy Theory,We'd all be safer if ______ would take their ______ and go home.
Conspiracy Theory,What do the Illuminati use to influence your mind? ______
Conspiracy Theory,What does the CIA want you NOT to think about? ______
Conspiracy Theory,What is Donald Trump's endgame?
Conspiracy Theory,What is the best thing in life?
Conspiracy Theory,What stopped the NSA from building those prison camps in Oklahoma? ______
Conspiracy Theory,What will defeat ______? Only ______.
Conspiracy Theory,What's in Area 51 besides airplanes?
Conspiracy Theory,What's in the Bermuda Triangle? ______
Conspiracy Theory,What's on the black helicopters? ______
Conspiracy Theory,What's the latest cargo on the secret military space shuttle?
Conspiracy Theory,What's under the bed RIGHT NOW? _______
Conspiracy Theory,Who killed the Kennedys and why?
Conspiracy Theory,Who knows the secrets that Man was not meant to know? ______ knows.
Conspiracy Theory,Whose subliminal messages are in the ads on TV?______
Conspiracy Theory,Within our borders are three million illegal agents of ______!
