Label,response
Humanity Hates Trump: Base Set,A black man in a cowboy hat.
Humanity Hates Trump: Base Set,A bloody heap of Trump steaks.
Humanity Hates Trump: Base Set,A box full of razor blades and sleeping pills form your Secret Service.
Humanity Hates Trump: Base Set,A dyslexic KKK member who hates gingers.
Humanity Hates Trump: Base Set,A Funyun® cock ring.
Humanity Hates Trump: Base Set,A gay dentist referring to himself as the tooth fairy.
Humanity Hates Trump: Base Set,A good old-fashioned bitch slapping!
Humanity Hates Trump: Base Set,A hairpiece made from the souls of dead puppies.
Humanity Hates Trump: Base Set,A little boy from Queens.
Humanity Hates Trump: Base Set,A man of means by no means.
Humanity Hates Trump: Base Set,A pudgy gay man with a combover.
Humanity Hates Trump: Base Set,A quick and painless sex change.
Humanity Hates Trump: Base Set,A racist bone.
Humanity Hates Trump: Base Set,A remarkably convincing argument for slavery.
Humanity Hates Trump: Base Set,A young and beautiful piece of ass.
Humanity Hates Trump: Base Set,Abortion survivor.
Humanity Hates Trump: Base Set,America's first orange President.
Humanity Hates Trump: Base Set,An old man streaking during a military appreciation baseball game.
Humanity Hates Trump: Base Set,Annoying cockney British accents.
Humanity Hates Trump: Base Set,Ariana Grande's licked donut.
Humanity Hates Trump: Base Set,Asians who want their fair share of white privilege.
Humanity Hates Trump: Base Set,Australian Ancestry.com results.
Humanity Hates Trump: Base Set,Being someone's prison wife.
Humanity Hates Trump: Base Set,Beliebers.
Humanity Hates Trump: Base Set,Bernie Sanders' dank meme stash.
Humanity Hates Trump: Base Set,Bernie Sanders' nursing home.
Humanity Hates Trump: Base Set,Bernie's Communist manifesto.
Humanity Hates Trump: Base Set,Bestiality Anonymous.
Humanity Hates Trump: Base Set,Beyonce's Superbowl performance.
Humanity Hates Trump: Base Set,Black Republicans.
Humanity Hates Trump: Base Set,Black students standing in the back.
Humanity Hates Trump: Base Set,Blow jobs and no jobs.
Humanity Hates Trump: Base Set,Blowjob vomit.
Humanity Hates Trump: Base Set,Bruce Jenner's balls.
Humanity Hates Trump: Base Set,Building designs that overcompensate for a micropenis.
Humanity Hates Trump: Base Set,Carly Fiorina's secret Cruz crush.
Humanity Hates Trump: Base Set,Celebrating the election with beer and white hoods.
Humanity Hates Trump: Base Set,Cheating at Cards Against Humanity™.
Humanity Hates Trump: Base Set,Chinese sweatshop operators.
Humanity Hates Trump: Base Set,Chris Christie's hostage face.
Humanity Hates Trump: Base Set,Colonel Sanders' stolen valor.
Humanity Hates Trump: Base Set,Corpse looting.
Humanity Hates Trump: Base Set,David Duke for VP.
Humanity Hates Trump: Base Set,Dead men selling wineries.
Humanity Hates Trump: Base Set,Death by a million paper cuts.
Humanity Hates Trump: Base Set,Decent human beings.
Humanity Hates Trump: Base Set,Diplomatic immunity.
Humanity Hates Trump: Base Set,Disabled reporters.
Humanity Hates Trump: Base Set,Donald Trump bobbleheads.
Humanity Hates Trump: Base Set,Donald Trump's deleted tweets.
Humanity Hates Trump: Base Set,Donald Trump's hand gestures.
Humanity Hates Trump: Base Set,Donald Trump's Ill-informed protestors.
Humanity Hates Trump: Base Set,Donald Trump's penis.
Humanity Hates Trump: Base Set,El Chapo's escape.
Humanity Hates Trump: Base Set,Electoral fraud.
Humanity Hates Trump: Base Set,Emaciated Ethiopians.
Humanity Hates Trump: Base Set,Eternal awesomeness.
Humanity Hates Trump: Base Set,Exploited veterans.
Humanity Hates Trump: Base Set,Faking car crash injuries to get money.
Humanity Hates Trump: Base Set,Female presidents.
Humanity Hates Trump: Base Set,Fifth Avenue shootouts.
Humanity Hates Trump: Base Set,Free Trump water and wine for all.
Humanity Hates Trump: Base Set,Freecreditreport.com
Humanity Hates Trump: Base Set,Fuckin' rich sugar daddies.
Humanity Hates Trump: Base Set,George W Bush's legacy.
Humanity Hates Trump: Base Set,Geriatric enema party!
Humanity Hates Trump: Base Set,Great fuckin' genes.
