Label,prompt
Cards About Toronto,Captain John's Seafood Restaurant really closed because of ______
Cards About Toronto,Cash strapped City Hall has decided to implement a tax on _______ immediately
Cards About Toronto,HGTV presents its newest home improvement series titled ______
Cards About Toronto,I blamed the streetcar but I was really late because of ______
Cards About Toronto,I don't have enough money to eat this month because I spent my last ten bucks on ______
Cards About Toronto,I forgot to vote because I was too distracted with ______
Cards About Toronto,I have enough ______ to eat at home
Cards About Toronto,I never met a ______ I didn't like
Cards About Toronto,I picked up ______ on the night bus
Cards About Toronto,Margaret Atwood's next book is a thriller titled ______
Cards About Toronto,My contribution to the potluck was ______
Cards About Toronto,My family would be shocked to hear about ______ in my eulogy
Cards About Toronto,New Canadians are not being forced to pledge their allegiance to ______
Cards About Toronto,One in then TTC late night drivers will accept ______ in lieu of the proper fare
Cards About Toronto,The last time I went to Honest Ed's I walked out with ______
Cards About Toronto,The Mayor was really smoking ______ in that video
Cards About Toronto,The most used app on my cell phone is for ______
Cards About Toronto,The newest bar in the Junction features ______ on the menu
Cards About Toronto,The only thing to fear is ______
Cards About Toronto,The worst birthday gift I ever received was ______
Cards About Toronto,The worst blind date I ever went on invovled ______ and ended with ______
Cards About Toronto,The worst thing in my Google search history is ______
Cards About Toronto,This best describes my night each time the power fails in Toronto.
Cards About Toronto,Toronto City Council has voted to cancel the Scarborough subway to better fund ______
Cards About Toronto,What do you get the person who has everything?
Cards About Toronto,What does everyone playing this game has in common?
Cards About Toronto,What inspired my mother to choose my first name?
Cards About Toronto,What ruined the Santa Claus Day parade this year?
Cards About Toronto,What you do not want to see when the subway doors open?
Cards About Toronto,Yorkville's latest fad diet is called ______
