Label,response
KinderPerfect: Naughty Expansion Pack,A 9-month denial period
KinderPerfect: Naughty Expansion Pack,A rock hard erection
KinderPerfect: Naughty Expansion Pack,A toddler drinking out of a plunger
KinderPerfect: Naughty Expansion Pack,A viral PornHub video
KinderPerfect: Naughty Expansion Pack,A weak pull-out game
KinderPerfect: Naughty Expansion Pack,Babysitter crushes
KinderPerfect: Naughty Expansion Pack,Being sexually attracted to a cartoon
KinderPerfect: Naughty Expansion Pack,Being that girl gone wild
KinderPerfect: Naughty Expansion Pack,Breastfeeding a piranha
KinderPerfect: Naughty Expansion Pack,Broken condoms and broken dreams
KinderPerfect: Naughty Expansion Pack,Buying the fancy boxed wine
KinderPerfect: Naughty Expansion Pack,Cleaning an uncircumcised penis
KinderPerfect: Naughty Expansion Pack,Crossing guards with booze breath
KinderPerfect: Naughty Expansion Pack,Daydreaming about selling them to gypsies
KinderPerfect: Naughty Expansion Pack,Discovering your child is the bully
KinderPerfect: Naughty Expansion Pack,Doing Kegels to tighten up my vag
KinderPerfect: Naughty Expansion Pack,Drinking heavily to be a better parent
KinderPerfect: Naughty Expansion Pack,Drinking on the scout camping trip
KinderPerfect: Naughty Expansion Pack,Expecting it to be all unicorns and rainbows
KinderPerfect: Naughty Expansion Pack,Explaining daddy's erection
KinderPerfect: Naughty Expansion Pack,Explaining porn
KinderPerfect: Naughty Expansion Pack,Explaining your furry kink to the kids
KinderPerfect: Naughty Expansion Pack,Eye candy at the community pool
KinderPerfect: Naughty Expansion Pack,F**king selfies
KinderPerfect: Naughty Expansion Pack,Finding them wearing your leather lingerie
KinderPerfect: Naughty Expansion Pack,Five uninterrupted minutes to masturbate
KinderPerfect: Naughty Expansion Pack,Forgetting to take the pill
KinderPerfect: Naughty Expansion Pack,Getting caught watching online porn
KinderPerfect: Naughty Expansion Pack,Getting in a quickie while the kids are at soccer practice
KinderPerfect: Naughty Expansion Pack,Getting too old for this sh*t
KinderPerfect: Naughty Expansion Pack,Giving in to sex just to stop the begging
KinderPerfect: Naughty Expansion Pack,Googling if the Safe Haven Law applies to toddlers
KinderPerfect: Naughty Expansion Pack,Helping them cheat on the SAT
KinderPerfect: Naughty Expansion Pack,Hooking up at parent-teacher conferences
KinderPerfect: Naughty Expansion Pack,Hot stay-at-home dads
KinderPerfect: Naughty Expansion Pack,Keeping them off the sex-stained sheets
KinderPerfect: Naughty Expansion Pack,Lazy foreplay
KinderPerfect: Naughty Expansion Pack,Leaking milk during sex
KinderPerfect: Naughty Expansion Pack,Losing your child at Walmart
KinderPerfect: Naughty Expansion Pack,Making daddy cry
KinderPerfect: Naughty Expansion Pack,Making him sleep in the wet spot
KinderPerfect: Naughty Expansion Pack,Making the kids flush the goldfish
KinderPerfect: Naughty Expansion Pack,Mastering how to masturbate in silence
KinderPerfect: Naughty Expansion Pack,Missing your child's big moment because you were looking at your phone
KinderPerfect: Naughty Expansion Pack,Missionary . . . again
KinderPerfect: Naughty Expansion Pack,Not really knowing their paternity
KinderPerfect: Naughty Expansion Pack,Nothing an extra $5 can't fix
KinderPerfect: Naughty Expansion Pack,Noturnal emissions
KinderPerfect: Naughty Expansion Pack,Porn star role models
KinderPerfect: Naughty Expansion Pack,Princess Aurora working a stripper pole
KinderPerfect: Naughty Expansion Pack,Realizing they know when you have sex
KinderPerfect: Naughty Expansion Pack,Saggy old man ass
KinderPerfect: Naughty Expansion Pack,Secretly happy your ex's kids are ugly
KinderPerfect: Naughty Expansion Pack,Secretly happy your sibling is getting divorced
KinderPerfect: Naughty Expansion Pack,Secretly wishing they don't look like your spouse
KinderPerfect: Naughty Expansion Pack,Sending an Uber to pick up the kids
KinderPerfect: Naughty Expansion Pack,Seriously considering anal sex after natural childbirth
KinderPerfect: Naughty Expansion Pack,Sex with an audience
KinderPerfect: Naughty Expansion Pack,Sexting
KinderPerfect: Naughty Expansion Pack,Shamelessly flirting with the gay parents
KinderPerfect: Naughty Expansion Pack,Sifting through my kid's poop to find their first lost tooth
KinderPerfect: Naughty Expansion Pack,Sleeping off your hangover in the car during Saturday morning practice
KinderPerfect: Naughty Expansion Pack,Stealing from your kid's piggy bank to buy booze
KinderPerfect: Naughty Expansion Pack,Teacher cleavage
KinderPerfect: Naughty Expansion Pack,The day you stop being naked in front of your kid
KinderPerfect: Naughty Expansion Pack,The half-assed announcement of the 2nd pregnancy
KinderPerfect: Naughty Expansion Pack,The mailman's baby
KinderPerfect: Naughty Expansion Pack,The Poison Control app
KinderPerfect: Naughty Expansion Pack,The sudden realization that your classmate's prom baby is now old enough to drink
KinderPerfect: Naughty Expansion Pack,Training your kid to get you a beer
KinderPerfect: Naughty Expansion Pack,Twins . . . again!
KinderPerfect: Naughty Expansion Pack,Wanting to birth Channing Tatum's love child
KinderPerfect: Naughty Expansion Pack,When your kids find your anal beads
