Label,prompt
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Al Gore invented _________
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Daddy? What are you doing?
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Having sex with Hillary is like having sex with _________.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Hillary is better then Trump because of _________.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Hillary is worse then Trump because of _________.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Hillary was caught with _________.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,I did not have _________ with _________.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,I did not have sexual relations with _________.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,It depends on what the meaning of the word(s) _________ is/are.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,It's not cheating if (its/I'm) _________.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Martin Luther King's real dream was _________.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Newsflash. Hillary is President. What's Next?
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,The Presidential reality show would feature _________.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,There are _________ everywhere. And yet they do not contribute to the growth of their own countries.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,To deny the opportunity to any of our daughters and sons solely on the basis of _________ is to deny them the chance to live up to their God given potential.
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,What made this the most dramatic rose ceremony ever?
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,What makes a man sponge-worthy?
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,What resonates with Millennials?
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,What should I get my therapist for Christmas?
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,What will Bill Clinton's social cause be as First Man?
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,What's my preferred method of contraception?
Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too,Why do men on the internet send me pictures of _________?
